gene,importance_mean,importance_std
GENE_080,0.08214285714285721,0.026075756076191822
GENE_093,0.07115384615384622,0.02913772061209148
GENE_013,0.06236263736263743,0.0199265800063611
GENE_117,0.05384615384615392,0.020270183237029334
GENE_072,0.03598901098901105,0.0172640300476538
GENE_112,0.031318681318681395,0.022760785909019757
GENE_044,0.02967032967032973,0.019379331965437785
GENE_076,0.026373626373626446,0.033673743837460586
GENE_019,0.024175824175824236,0.008314695577154703
GENE_010,0.020054945054945095,0.011128917088202817
GENE_088,0.0181318681318682,0.012897466587148918
GENE_056,0.015934065934066023,0.025794933174297808
GENE_034,0.01456043956043962,0.013292275168574669
GENE_100,0.014285714285714346,0.010190789555489793
GENE_020,0.014010989010989072,0.008373489370400127
GENE_021,0.012637362637362714,0.018355267130208887
GENE_038,0.012362637362637407,0.010657782824874083
GENE_011,0.011813186813186872,0.013005275141257851
GENE_003,0.009890109890109943,0.012420499511491571
GENE_115,0.007142857142857206,0.009532610754339279
GENE_037,0.006593406593406648,0.012661229254728509
GENE_039,0.004945054945055016,0.0034313175815375834
GENE_105,0.004670329670329742,0.019427952976084798
GENE_075,0.0043956043956044685,0.007184998258583525
GENE_029,0.004120879120879184,0.01230143581166928
GENE_030,0.0035714285714286255,0.006734972896775441
GENE_101,0.003021978021978078,0.01496937662178601
GENE_027,0.0024725274725275414,0.016320161253054008
GENE_063,0.0021978021978022568,0.018173445503891463
GENE_084,0.001648351648351687,0.011472864295506108
GENE_002,0.0010989010989011505,0.007789805977339472
GENE_107,6.661338147750939e-17,0.02278729819047004
GENE_032,0.0,0.0
GENE_033,0.0,0.0
GENE_031,0.0,0.0
GENE_028,0.0,0.0
GENE_036,0.0,0.0
GENE_042,0.0,0.0
GENE_040,0.0,0.0
GENE_025,0.0,0.0
GENE_053,0.0,0.0
GENE_054,0.0,0.0
GENE_050,0.0,0.0
GENE_023,0.0,0.0
GENE_017,0.0,0.0
GENE_012,0.0,0.0
GENE_018,0.0,0.0
GENE_022,0.0,0.0
GENE_015,0.0,0.0
GENE_014,0.0,0.0
GENE_006,0.0,0.0
GENE_005,0.0,0.0
GENE_000,0.0,0.0
GENE_001,0.0,0.0
GENE_008,0.0,0.0
GENE_009,0.0,0.0
GENE_114,0.0,0.0
GENE_103,0.0,0.0
GENE_098,0.0,0.0
GENE_102,0.0,0.0
GENE_097,0.0,0.0
GENE_108,0.0,0.0
GENE_082,0.0,0.0
GENE_087,0.0,0.0
GENE_073,0.0,0.0
GENE_048,0.0,0.0
GENE_045,0.0,0.0
GENE_047,0.0,0.0
GENE_041,0.0,0.0
GENE_049,0.0,0.0
GENE_051,0.0,0.0
GENE_055,0.0,0.0
GENE_079,0.0,0.0
GENE_078,0.0,0.0
GENE_069,0.0,0.0
GENE_071,0.0,0.0
GENE_068,0.0,0.0
GENE_077,0.0,0.0
GENE_074,0.0,0.0
GENE_058,0.0,0.0
GENE_070,0.0,0.0
GENE_066,0.0,0.0
GENE_067,0.0,0.0
GENE_057,0.0,0.0
GENE_061,0.0,0.0
GENE_060,0.0,0.0
GENE_062,0.0,0.0
GENE_065,0.0,0.0
GENE_118,0.0,0.0
GENE_110,0.0,0.0
GENE_109,0.0,0.0
GENE_113,0.0,0.0
GENE_116,0.0,0.0
GENE_106,0.0,0.0
GENE_104,0.0,0.0
GENE_089,0.0,0.0
GENE_094,0.0,0.0
GENE_099,0.0,0.0
GENE_096,0.0,0.0
GENE_095,0.0,0.0
GENE_091,0.0,0.0
GENE_092,0.0,0.0
GENE_085,-0.0002747252747252071,0.011357157477249672
GENE_059,-0.00027472527472522935,0.005277300195686427
GENE_083,-0.0005494505494505253,0.0048836233062173485
GENE_035,-0.0008241758241757657,0.00959967319211878
GENE_046,-0.0035714285714285145,0.009985044969992439
GENE_086,-0.003846153846153799,0.017727764620771087
GENE_016,-0.005219780219780179,0.003571428571428574
GENE_024,-0.005769230769230693,0.023806177561417504
GENE_081,-0.0071428571428570845,0.012601477957340342
GENE_064,-0.007692307692307621,0.009011659047723481
GENE_043,-0.00879120879120875,0.009500888168016792
GENE_004,-0.009340659340659262,0.04170398441570534
GENE_119,-0.012087912087912022,0.014072800521830419
GENE_052,-0.01318681318681313,0.02251406730609658
GENE_007,-0.020879120879120815,0.025034693955812135
GENE_026,-0.021428571428571363,0.01591510808567061
GENE_111,-0.031868131868131824,0.016169163702815553
GENE_090,-0.03901098901098896,0.03377668766879931
